N,p_gen,p_swap,delta_pct,region
15,0.5,0.5,41.919375,coarse
15,0.5,0.6,80.54538880677961,coarse
15,0.5,0.7,92.23547714364267,coarse
15,0.5,0.8,94.9988563212757,coarse
15,0.5,0.9,95.03671815649531,coarse
15,0.5,1.0,70.46436285097192,coarse
15,0.6,0.1,0.0,coarse
15,0.6,0.2,0.0,coarse
15,0.6,0.3,0.0,coarse
15,0.6,0.4,6.369494761701371,coarse
15,0.6,0.5,48.27879303017424,coarse
15,0.6,0.6,83.9402084337044,coarse
15,0.6,0.7,92.30423318275658,coarse
15,0.6,0.8,95.17619462264318,coarse
15,0.6,0.9,74.44868057112954,coarse
15,0.6,1.0,-27.603305785123965,coarse
15,0.7,0.1,0.0,coarse
15,0.7,0.2,0.0,coarse
15,0.7,0.3,0.6056250000000034,coarse
15,0.7,0.4,12.757511807858513,coarse
15,0.7,0.5,58.070625,coarse
15,0.7,0.6,84.63350700624575,coarse
15,0.7,0.7,93.52971224246551,coarse
15,0.7,0.8,95.38706731371882,coarse
15,0.7,0.9,69.53968554650503,coarse
15,0.7,1.0,49.70494779845665,coarse
15,0.8,0.1,0.0,coarse
15,0.8,0.2,0.0,coarse
15,0.8,0.3,1.625,coarse
15,0.8,0.4,13.992500000000007,coarse
15,0.8,0.5,63.4424540863754,coarse
15,0.8,0.6,88.82812449437913,coarse
15,0.8,0.7,94.29262852519481,coarse
15,0.8,0.8,95.81164311728925,coarse
15,0.8,0.9,79.73813181186453,coarse
15,0.8,1.0,-27.576470588235292,coarse
15,0.9,0.1,0.0,coarse
15,0.9,0.2,0.0,coarse
15,0.9,0.3,0.6650000000000063,coarse
15,0.9,0.4,19.98375,coarse
15,0.9,0.5,61.40912830755123,coarse
15,0.9,0.6,89.10950127504091,coarse
15,0.9,0.7,94.59987826273765,coarse
15,0.9,0.8,96.03604323589938,coarse
15,0.9,0.9,95.20284721293945,coarse
15,0.9,1.0,-39.364566505115775,coarse
15,1.0,0.1,0.0,coarse
15,1.0,0.2,0.0,coarse
15,1.0,0.3,1.0443750000000023,coarse
15,1.0,0.4,27.974374999999995,coarse
15,1.0,0.5,69.12707827179132,coarse
15,1.0,0.6,90.16075924849893,coarse
15,1.0,0.7,95.33545393078862,coarse
15,1.0,0.8,95.63976603091268,coarse
15,1.0,0.9,31.570469798657726,coarse
15,1.0,1.0,-50.71428571428572,coarse
15,0.05,0.75,19.10534290796495,inset
15,0.05,0.78,25.104498474523872,inset
15,0.05,0.81,39.798845511379255,inset
15,0.05,0.84,37.25420628538089,inset
15,0.05,0.87,45.2571232993925,inset
15,0.05,0.9,50.050662709175576,inset
15,0.05,0.93,50.45052358145953,inset
15,0.05,0.96,49.536406665369896,inset
15,0.05,0.99,40.400051786639054,inset
15,0.08,0.75,44.879226429465916,inset
15,0.08,0.78,49.80939927910726,inset
15,0.08,0.81,59.98359310910581,inset
15,0.08,0.84,68.96557049208175,inset
15,0.08,0.87,71.90649890745048,inset
15,0.08,0.9,72.03170987494221,inset
15,0.08,0.93,71.72825225178389,inset
15,0.08,0.96,64.90199165551444,inset
15,0.08,0.99,57.415047226142654,inset
15,0.11,0.75,59.18378007770414,inset
15,0.11,0.78,66.1935757070752,inset
15,0.11,0.81,72.22701384978366,inset
15,0.11,0.84,80.26474399541934,inset
15,0.11,0.87,82.74468473552305,inset
15,0.11,0.9,80.78005673139866,inset
15,0.11,0.93,78.72995397109267,inset
15,0.11,0.96,75.28656673570244,inset
15,0.11,0.99,70.31975244971635,inset
15,0.14,0.75,71.02984585109871,inset
15,0.14,0.78,77.89164738786644,inset
15,0.14,0.81,79.72241226218722,inset
15,0.14,0.84,86.04961443657992,inset
15,0.14,0.87,86.81682061664347,inset
15,0.14,0.9,84.07858348597493,inset
15,0.14,0.93,81.50490041100221,inset
15,0.14,0.96,79.44693404193033,inset
15,0.14,0.99,76.79945743520183,inset
15,0.17,0.75,79.52437900680299,inset
15,0.17,0.78,83.36692593845113,inset
15,0.17,0.81,87.68269537148636,inset
15,0.17,0.84,88.17318260323441,inset
15,0.17,0.87,79.14537523368645,inset
15,0.17,0.9,89.66127427883357,inset
15,0.17,0.93,83.51498371970598,inset
15,0.17,0.96,83.69961271398125,inset
15,0.17,0.99,77.67065175472426,inset
15,0.2,0.75,83.12183505140847,inset
15,0.2,0.78,87.55682900933766,inset
